Group,Load Time (s)_count,Load Time (s)_mean,Load Time (s)_std,Load Time (s)_min,Load Time (s)_max,Train Time (s)_count,Train Time (s)_mean,Train Time (s)_std,Train Time (s)_min,Train Time (s)_max,Test Time (s)_count,Test Time (s)_mean,Test Time (s)_std,Test Time (s)_min,Test Time (s)_max,Test Accuracy_count,Test Accuracy_mean,Test Accuracy_std,Test Accuracy_min,Test Accuracy_max,Test AUC_count,Test AUC_mean,Test AUC_std,Test AUC_min,Test AUC_max,Test Loss_count,Test Loss_mean,Test Loss_std,Test Loss_min,Test Loss_max
concat_Aug_rotate_100pct,10,37.10408911705017,0.4274379759733168,36.235657691955566,37.693132162094116,10,2824.0812505960466,1.9812383057029148,2820.2543857097626,2826.390225172043,10,10.164775800704955,0.020874434703682065,10.123761177062988,10.191391229629517,10,0.8599999904632568,0.02172279220984717,0.8111110925674438,0.8888888955116272,10,0.9379629373550415,0.013087461468536017,0.9137653112411499,0.9600309133529663,10,0.8453504383563996,0.16793591310762224,0.6256639957427979,1.2342733144760132
concat_Aug_rotate_50pct,10,27.108950400352477,4.423296980198489,22.55390167236328,33.84078001976013,10,2147.272477555275,51.72040133823505,2053.443630218506,2228.0886132717133,10,11.02281551361084,1.6616715815850647,8.011708498001099,12.692176342010498,10,0.8477777719497681,0.022253054595973484,0.800000011920929,0.8777777552604675,10,0.9317870497703552,0.010537907611802809,0.9162346720695496,0.9523456692695618,10,0.809102201461792,0.15453944526719507,0.5897104144096375,1.0997459888458252
concat_Baseline_Raw,12,11.524259050687155,0.0758984612830903,11.351674318313599,11.63089394569397,12,1478.1862431963284,105.97651345287538,1430.7244429588318,1705.9425597190857,12,12.390653173128763,0.6766378868715308,10.930851221084595,12.741867303848267,12,0.8342592517534891,0.026147436815799573,0.800000011920929,0.8777777552604675,12,0.925612136721611,0.012077576462842092,0.9039507508277893,0.944290041923523,12,0.9129604548215866,0.07573508430407087,0.769759476184845,1.003463864326477
concat_CLAHE,12,12.901905874411264,0.1046819699629396,12.69872260093689,12.996419429779053,12,1453.6515060265858,102.40609777559247,1407.4840421676636,1674.0486054420471,12,12.53970992565155,0.6348963536193303,11.166218280792236,12.854357242584229,12,0.8342592517534891,0.035599194662963,0.7666666507720947,0.8888888955116272,12,0.9323919713497162,0.01942725212059113,0.8784876465797424,0.9534258842468262,12,0.7267849991718928,0.1672511222183938,0.5424200296401978,1.1113386154174805
concat_CLAHE_Norm_min_max_Aug_rotate_100pct,13,39.70542482229379,0.39635191119216845,39.07641339302063,40.206966400146484,13,2773.8871772289276,4.553197322415439,2764.0800466537476,2777.7411484718323,13,10.30485956485455,0.05701644678783321,10.241803169250488,10.427972793579102,13,0.8683760578815753,0.022150880362371,0.8333333134651184,0.8999999761581421,13,0.9512962744786189,0.019084303060005973,0.8983332514762878,0.9694135189056396,13,0.6248124218904055,0.19188603420671516,0.4164520800113678,1.1653380393981934
concat_CLAHE_Norm_min_max_Aug_rotate_2x,10,65.91732084751129,0.559006989878902,64.90681838989258,66.56002736091614,10,4318.428293275833,7.228114839952627,4311.068269252777,4333.2933614254,10,10.711973595619202,0.0774420192344144,10.61969542503357,10.798534631729126,10,0.88111110329628,0.023453532578178754,0.8444444537162781,0.9111111164093018,10,0.949956750869751,0.018231624763776138,0.9142592549324036,0.972561776638031,10,0.6698366433382035,0.16582607307634767,0.4162813723087311,0.912513792514801
concat_CLAHE_Norm_min_max_Aug_rotate_50pct,12,26.797432402769726,2.212583121673705,24.73950171470642,33.26854968070984,12,2102.4676217039428,42.813524462999354,2029.5709624290466,2160.1222701072693,12,11.301465888818106,1.5575175643860684,9.470863819122314,13.053530216217041,12,0.8648148079713186,0.019438428301300943,0.8222222328186035,0.8888888955116272,12,0.9610802084207535,0.013135441302135132,0.9419136047363281,0.9811729192733765,12,0.4876706426342328,0.13932779026145323,0.2849852740764618,0.686812698841095
concat_Norm_min_max,12,11.880452136198679,0.10120263953055614,11.672603130340576,11.987367868423462,12,1479.861314713955,105.09485794701679,1432.7063839435577,1705.2324786186218,12,12.523489475250244,0.6975424952355831,11.02993106842041,13.260332584381104,12,0.8324074000120163,0.0355991936764075,0.7666666507720947,0.8888888955116272,12,0.9367129604021708,0.01953874998218992,0.8874382376670837,0.9635492563247681,12,0.7129030103484789,0.19502866561498164,0.4121866822242737,1.1740672588348389
concat_ROI,12,45.83519158760706,0.1562234121346519,45.513484716415405,46.015703439712524,12,1456.4188041885693,77.66345848622254,1431.4543986320496,1702.964920759201,12,23.781307478745777,0.4965250178707536,22.22080636024475,24.043819904327393,12,0.8462962955236435,0.03603008938615014,0.7444444298744202,0.8666666746139526,12,0.9292232443888983,0.014706572720006266,0.8918518424034119,0.952438235282898,12,0.9084317783514658,0.2110310973024912,0.5681136846542358,1.3023369312286377
dual_Aug_rotate_100pct,12,42.586075246334076,4.745145513470007,37.32787227630615,49.35026526451111,12,2980.304365416368,33.1096631427659,2943.775425195694,3051.140426158905,12,10.141165137290955,0.9549645490154078,9.346473932266235,12.097748756408691,12,0.8583333144585291,0.026003970352329916,0.8111110925674438,0.8999999761581421,12,0.9442361295223236,0.01568785477347451,0.9067901372909546,0.9623456597328186,12,0.6727688163518906,0.16225074846266382,0.4401870369911194,1.1000837087631226
